month,day_of_week,state,vehicle_1,vehicle_2,vehicles_involved,party_age_group,victim_age_group,road_condition,lighting_condition,weather_group,Actual_Severity,Predicted_Severity,Risk_Score
October,Tuesday,Unknown,Truck,Unidentified,1,Over 51,Under 18,Dry,Daylight,Clear,Minor,Minor,11.0
July,Monday,Unknown,Truck,Unidentified,2,31-50,Unknown,Wet,Daylight,Rainy,Minor,Minor,1.0
May,Monday,Unknown,Truck,Unidentified,1,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,34.65755679947316
May,Sunday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,1.0
June,Wednesday,Unknown,Truck,Unidentified,3,18-30,Unknown,Dry,Daylight,Rainy,Severe,Minor,8.0
April,Saturday,Uttar Pradesh,Car,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
February,Wednesday,Karnataka,Truck,Unidentified,3,31-50,Unknown,Damaged/Construction,Dark,Rainy,Minor,Severe,2.0
July,Tuesday,Unknown,Truck,Unidentified,3,31-50,Under 18,Wet,Dark,Rainy,Minor,Minor,32.0
May,Thursday,Unknown,Truck,Unidentified,2,31-50,31-50,Wet,Dark,Clear,Minor,Minor,2.0
March,Monday,Unknown,Truck,Unidentified,2,Unknown,18-30,Dry,Daylight,Clear,Severe,Minor,3.0
April,Monday,Unknown,Truck,Unidentified,2,Unknown,18-30,Dry,Daylight,Clear,Minor,Minor,11.0
May,Thursday,Unknown,Truck,Unidentified,1,31-50,18-30,Dry,Daylight,Clear,Severe,Minor,14.70590314598798
April,Friday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,4.827600497306258
June,Tuesday,Unknown,Truck,Unidentified,1,Unknown,Unknown,Wet,Daylight,Rainy,Severe,Minor,10.0
August,Monday,West Bengal,Pedestrian,Truck,2,Unknown,31-50,Dry,Daylight,Clear,Severe,Severe,0.0
April,Monday,Unknown,Truck,Unidentified,2,Under 18,18-30,Dry,Daylight,Clear,Minor,Minor,8.0
March,Saturday,Rajasthan,Car,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
August,Tuesday,Jharkhand,Pedestrian,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
September,Sunday,Tamil Nadu,Bus,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
April,Saturday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,5.0
October,Saturday,Rajasthan,Truck,Unidentified,4,31-50,Unknown,Dry,Daylight,Fog/Mist,Severe,Severe,43.0
August,Wednesday,Maharashtra,Bus,Truck,2,Unknown,Unknown,Wet,Dark,Clear,Severe,Severe,0.0
October,Friday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,52.616329913810574
January,Sunday,Karnataka,Two Wheeler,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,0.0
May,Friday,Unknown,Truck,Unidentified,2,Under 18,Under 18,Dry,Dark,Clear,Minor,Minor,4.0
October,Thursday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,4.4391725775346025
May,Tuesday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,12.805573314871586
April,Wednesday,Unknown,Truck,Unidentified,2,18-30,31-50,Wet,Dark,Clear,Severe,Minor,3.0
April,Friday,Unknown,Truck,Unidentified,3,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,14.31040198922503
August,Thursday,Unknown,Bus,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,1.0
October,Friday,Madhya Pradesh,Truck,Unidentified,2,18-30,Unknown,Wet,Dark,Clear,Severe,Severe,35.0
June,Sunday,Arunachal Pradesh,Truck,Unidentified,5,31-50,Unknown,Dry,Dark,Fog/Mist,Severe,Severe,50.0
October,Tuesday,Unknown,Truck,Unidentified,1,Under 18,18-30,Dry,Dark,Clear,Minor,Severe,34.73326943154662
September,Friday,Kerala,Truck,Unidentified,5,Over 51,Unknown,Wet,Twilight,Fog/Mist,Severe,Severe,25.0
May,Wednesday,Unknown,Truck,Unidentified,3,31-50,Under 18,Dry,Daylight,Clear,Minor,Minor,18.0
July,Monday,Uttar Pradesh,Auto Rickshaw,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
March,Monday,Unknown,Truck,Unidentified,2,18-30,Under 18,Wet,Dark,Clear,Minor,Minor,12.0
May,Monday,Unknown,Truck,Unidentified,3,31-50,18-30,Dry,Dark,Clear,Minor,Minor,8.0
October,Friday,Unknown,Truck,Unidentified,3,18-30,Under 18,Dry,Daylight,Clear,Minor,Minor,13.0
June,Monday,Punjab,Truck,Unidentified,4,Over 51,Unknown,Dry,Twilight,Rainy,Severe,Severe,54.0
April,Thursday,Unknown,Truck,Unidentified,1,Over 51,18-30,Dry,Daylight,Clear,Severe,Minor,15.411806291975964
April,Thursday,Unknown,Truck,Unidentified,2,Under 18,18-30,Dry,Daylight,Clear,Minor,Minor,18.0
January,Thursday,Andhra Pradesh,Car,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,0.0
March,Friday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,14.508442436719735
March,Monday,Unknown,Truck,Unidentified,2,31-50,Under 18,Dry,Daylight,Clear,Minor,Minor,1.0
May,Friday,Chhattisgarh,Truck,Unidentified,5,Over 51,Unknown,Damaged/Construction,Twilight,Rainy,Minor,Minor,27.0
October,Wednesday,Unknown,Truck,Unidentified,1,Over 51,Unknown,Dry,Daylight,Clear,Minor,Minor,2.0
March,Tuesday,Unknown,Truck,Unidentified,3,Over 51,Under 18,Dry,Daylight,Clear,Minor,Minor,9.0
October,Thursday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Minor,Minor,1.0
November,Wednesday,Goa,Two Wheeler,Truck,2,Unknown,18-30,Wet,Dark,Clear,Severe,Severe,0.0
October,Monday,Unknown,Truck,Unidentified,1,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,3.0
March,Saturday,Unknown,Truck,Unidentified,3,Over 51,18-30,Wet,Daylight,Clear,Minor,Minor,5.827600497306258
April,Thursday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,7.989817914480205
April,Tuesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Severe,Minor,8.0
March,Wednesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,3.0
December,Monday,Manipur,Truck,Unidentified,3,Over 51,Unknown,Damaged/Construction,Twilight,Fog/Mist,Severe,Severe,31.0
July,Saturday,Unknown,Truck,Unidentified,2,Under 18,Over 51,Wet,Dark,Rainy,Minor,Minor,23.0
June,Wednesday,Puducherry,Truck,Unidentified,1,Over 51,Unknown,Wet,Twilight,Rainy,Minor,Severe,35.0
May,Thursday,Unknown,Truck,Unidentified,2,Unknown,31-50,Wet,Dark,Clear,Minor,Minor,7.000000000000001
October,Monday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,18.0
August,Friday,Unknown,Truck,Unidentified,1,31-50,31-50,Wet,Daylight,Rainy,Minor,Minor,26.0
May,Tuesday,Unknown,Truck,Unidentified,1,18-30,18-30,Dry,Dark,Clear,Minor,Severe,38.250510446015326
April,Monday,Unknown,Truck,Unidentified,2,Under 18,Unknown,Dry,Daylight,Clear,Minor,Minor,4.705903145987982
October,Sunday,Unknown,Truck,Unidentified,2,31-50,Under 18,Dry,Dark,Clear,Minor,Minor,0.9056689342403628
July,Monday,Unknown,Truck,Unidentified,2,18-30,18-30,Wet,Dark,Rainy,Minor,Minor,4.0
October,Thursday,Unknown,Truck,Unidentified,4,18-30,31-50,Wet,Daylight,Clear,Severe,Minor,26.0
February,Tuesday,Haryana,Truck,Unidentified,2,Over 51,Unknown,Damaged/Construction,Twilight,Clear,Severe,Severe,28.999999999999996
November,Tuesday,Uttar Pradesh,Truck,Car,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,1.0
October,Saturday,Delhi,Truck,Unidentified,3,Over 51,Unknown,Damaged/Construction,Dark,Clear,Minor,Severe,22.0
July,Wednesday,Unknown,Truck,Unidentified,2,31-50,Under 18,Wet,Daylight,Rainy,Minor,Minor,1.0
August,Wednesday,Punjab,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
April,Thursday,Unknown,Truck,Unidentified,2,Over 51,Unknown,Dry,Daylight,Clear,Minor,Minor,9.419479729652485
February,Tuesday,Nagaland,Truck,Unidentified,2,Over 51,Unknown,Dry,Twilight,Fog/Mist,Minor,Severe,62.0
March,Tuesday,Unknown,Truck,Unidentified,3,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,5.405938174688245
August,Sunday,Karnataka,Bus,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
May,Tuesday,Assam,Truck,Unidentified,1,Over 51,Unknown,Damaged/Construction,Twilight,Rainy,Minor,Severe,26.0
February,Friday,Rajasthan,Truck,Unidentified,3,31-50,Unknown,Wet,Twilight,Fog/Mist,Severe,Severe,25.0
March,Tuesday,Unknown,Truck,Unidentified,3,Unknown,Unknown,Dry,Daylight,Clear,Minor,Minor,10.0
November,Friday,Tamil Nadu,Truck,Unidentified,5,18-30,Unknown,Damaged/Construction,Dark,Fog/Mist,Minor,Severe,34.0
November,Thursday,Maharashtra,Truck,Unidentified,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,2.0
May,Tuesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Dark,Clear,Minor,Minor,7.705903145987982
September,Saturday,Unknown,Truck,Unidentified,2,Over 51,Unknown,Wet,Daylight,Rainy,Minor,Minor,3.0
May,Saturday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,37.986774443167675
March,Tuesday,Unknown,Truck,Unidentified,1,Unknown,18-30,Dry,Daylight,Clear,Minor,Minor,16.0
May,Wednesday,Unknown,Truck,Unidentified,6,18-30,Unknown,Dry,Dark,Clear,Minor,Severe,30.0
August,Sunday,Manipur,Truck,Unidentified,4,18-30,Unknown,Damaged/Construction,Dark,Rainy,Severe,Severe,30.0
March,Monday,Unknown,Truck,Unidentified,2,Under 18,Unknown,Dry,Daylight,Clear,Minor,Minor,9.0
October,Wednesday,Goa,Two Wheeler,Truck,2,Unknown,18-30,Dry,Dark,Clear,Severe,Severe,0.0
March,Sunday,Telangana,Two Wheeler,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,0.0
October,Friday,Unknown,Truck,Unidentified,2,Under 18,31-50,Dry,Daylight,Clear,Minor,Minor,3.0
March,Monday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Dark,Clear,Minor,Minor,2.0
September,Tuesday,Rajasthan,Suv,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
March,Sunday,Unknown,Truck,Unidentified,1,31-50,31-50,Dry,Daylight,Clear,Minor,Minor,29.905668934240364
May,Saturday,Unknown,Truck,Unidentified,2,Unknown,18-30,Dry,Daylight,Clear,Minor,Minor,15.0
March,Saturday,Unknown,Truck,Unidentified,2,18-30,Unknown,Wet,Dark,Clear,Minor,Minor,10.0
April,Tuesday,Uttar Pradesh,Car,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
May,Saturday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,12.0
March,Thursday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Dark,Clear,Minor,Minor,2.0
May,Wednesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,2.0
November,Thursday,Uttar Pradesh,Bus,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
January,Sunday,Karnataka,Two Wheeler,Truck,2,Unknown,Over 51,Wet,Daylight,Clear,Severe,Severe,0.0
August,Friday,Unknown,Truck,Unidentified,1,18-30,31-50,Wet,Dark,Rainy,Severe,Minor,18.0
May,Wednesday,Maharashtra,Truck,Truck,2,Unknown,Over 51,Wet,Dark,Clear,Severe,Severe,0.0
May,Thursday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Minor,Minor,0.0
October,Saturday,Himachal Pradesh,Truck,Unidentified,4,31-50,Unknown,Damaged/Construction,Daylight,Fog/Mist,Severe,Severe,25.0
May,Sunday,Maharashtra,Van,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
May,Friday,Punjab,Two Wheeler,Truck,2,Unknown,Under 18,Dry,Daylight,Clear,Severe,Severe,0.0
July,Monday,Arunachal Pradesh,Truck,Unidentified,3,31-50,Unknown,Damaged/Construction,Dark,Fog/Mist,Minor,Severe,46.0
July,Tuesday,Unknown,Truck,Unidentified,1,Unknown,31-50,Wet,Dark,Rainy,Severe,Minor,6.0
October,Thursday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Severe,Minor,29.178153071914092
May,Thursday,Unknown,Truck,Unidentified,3,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,7.655200994612516
October,Sunday,Unknown,Truck,Unidentified,4,31-50,Over 51,Dry,Daylight,Clear,Severe,Minor,9.0
June,Sunday,Goa,Truck,Unidentified,1,31-50,Unknown,Damaged/Construction,Twilight,Rainy,Severe,Severe,31.0
June,Monday,Unknown,Truck,Unidentified,2,18-30,Over 51,Wet,Daylight,Rainy,Minor,Minor,3.0
March,Saturday,Unknown,Truck,Unidentified,1,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,11.0
April,Monday,Maharashtra,Two Wheeler,Truck,2,Unknown,18-30,Dry,Daylight,Clear,Severe,Severe,0.0
May,Sunday,Unknown,Truck,Unidentified,1,18-30,Under 18,Dry,Daylight,Clear,Minor,Minor,18.0
August,Saturday,Andhra Pradesh,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
April,Saturday,Maharashtra,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
April,Saturday,Unknown,Truck,Unidentified,2,31-50,31-50,Dry,Daylight,Clear,Minor,Minor,1.8276004973062576
April,Thursday,Bihar,Two Wheeler,Truck,2,Unknown,31-50,Dry,Daylight,Clear,Severe,Severe,0.0
March,Saturday,Unknown,Truck,Unidentified,2,Unknown,31-50,Dry,Daylight,Clear,Severe,Minor,10.247193972175484
May,Tuesday,Odisha,Two Wheeler,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,0.0
April,Wednesday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,2.0
April,Friday,Unknown,Truck,Unidentified,4,18-30,Unknown,Dry,Dark,Clear,Minor,Severe,46.0
March,Wednesday,Unknown,Truck,Unidentified,1,18-30,18-30,Wet,Dark,Clear,Severe,Minor,20.905668934240364
April,Wednesday,Gujarat,Two Wheeler,Truck,2,Unknown,31-50,Dry,Daylight,Clear,Severe,Severe,0.0
January,Sunday,Maharashtra,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,3.0
May,Tuesday,Unknown,Truck,Unidentified,2,18-30,Over 51,Dry,Daylight,Clear,Minor,Minor,2.0
May,Thursday,Unknown,Truck,Unidentified,2,Over 51,31-50,Dry,Daylight,Clear,Minor,Minor,0.0
February,Wednesday,Gujarat,Car,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
August,Wednesday,Unknown,Truck,Unidentified,1,Over 51,18-30,Wet,Daylight,Rainy,Minor,Minor,41.0
September,Sunday,Assam,Car,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,0.0
May,Friday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,2.6552009946125157
March,Friday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Dark,Clear,Minor,Minor,57.43646585728991
June,Tuesday,Uttar Pradesh,Pedestrian,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
March,Wednesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Severe,65.93507101607617
March,Friday,Unknown,Truck,Unidentified,2,Over 51,Over 51,Wet,Dark,Clear,Minor,Minor,12.73326943154662
June,Wednesday,Chandigarh,Truck,Unidentified,4,Over 51,Unknown,Damaged/Construction,Dark,Rainy,Minor,Severe,25.0
March,Friday,Unknown,Truck,Unidentified,1,Over 51,Under 18,Dry,Daylight,Clear,Minor,Minor,9.705903145987982
October,Thursday,Unknown,Truck,Unidentified,1,31-50,18-30,Wet,Daylight,Clear,Minor,Minor,15.0
March,Friday,Unknown,Truck,Unidentified,3,18-30,Under 18,Dry,Daylight,Clear,Minor,Minor,5.827600497306258
April,Wednesday,Uttar Pradesh,Bus,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Minor,Severe,1.0
March,Thursday,Unknown,Truck,Unidentified,1,31-50,Over 51,Dry,Daylight,Clear,Severe,Minor,27.0
May,Thursday,Unknown,Truck,Unidentified,2,18-30,Unknown,Wet,Daylight,Clear,Minor,Minor,21.827600497306257
April,Tuesday,Gujarat,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
April,Sunday,Unknown,Truck,Unidentified,2,Over 51,31-50,Dry,Daylight,Clear,Minor,Minor,12.0
June,Tuesday,Tamil Nadu,Truck,Bus,2,Unknown,18-30,Wet,Dark,Clear,Severe,Severe,0.0
March,Friday,Unknown,Truck,Unidentified,3,Over 51,18-30,Dry,Daylight,Clear,Minor,Minor,12.0
June,Saturday,Delhi,Bus,Unidentified,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
May,Saturday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Severe,70.41156314791098
May,Tuesday,Unknown,Truck,Unidentified,2,31-50,Under 18,Dry,Daylight,Clear,Minor,Minor,41.92197406945337
May,Saturday,Unknown,Truck,Unidentified,2,Over 51,Unknown,Dry,Daylight,Clear,Minor,Minor,2.0
July,Monday,Tripura,Truck,Unidentified,3,Over 51,Unknown,Wet,Twilight,Fog/Mist,Severe,Severe,37.0
December,Wednesday,Unknown,Bus,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Minor,Severe,3.0
March,Friday,Unknown,Truck,Unidentified,2,31-50,Unknown,Wet,Daylight,Clear,Severe,Minor,15.0
September,Saturday,Punjab,Truck,Unidentified,1,Over 51,Unknown,Damaged/Construction,Dark,Fog/Mist,Severe,Severe,30.0
May,Saturday,Unknown,Truck,Unidentified,2,18-30,Under 18,Dry,Daylight,Clear,Minor,Minor,5.444469174271088
October,Sunday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Dark,Clear,Minor,Minor,5.352194940868003
April,Wednesday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,1.0
August,Thursday,Unknown,Truck,Unidentified,2,18-30,18-30,Wet,Daylight,Rainy,Minor,Minor,9.0
March,Monday,Unknown,Truck,Unidentified,2,18-30,Over 51,Dry,Daylight,Clear,Minor,Minor,17.827600497306257
March,Monday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Severe,Minor,11.666824417770501
October,Sunday,Karnataka,Bus,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,1.0
April,Thursday,Unknown,Truck,Unidentified,1,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,24.900071672188396
October,Tuesday,Unknown,Truck,Unidentified,2,Unknown,31-50,Dry,Dark,Clear,Minor,Minor,4.0
June,Tuesday,Uttar Pradesh,Truck,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,0.0
March,Wednesday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Minor,Minor,1.0
June,Thursday,Madhya Pradesh,Two Wheeler,Truck,2,Unknown,31-50,Dry,Daylight,Clear,Severe,Severe,0.0
May,Tuesday,Unknown,Truck,Unidentified,2,Over 51,Unknown,Dry,Daylight,Clear,Severe,Minor,2.5335036432942393
July,Thursday,Uttar Pradesh,Truck,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
June,Saturday,Unknown,Truck,Unidentified,1,Over 51,31-50,Wet,Dark,Rainy,Severe,Minor,17.0
May,Sunday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,30.869020819454647
January,Thursday,Kerala,Two Wheeler,Truck,2,Unknown,31-50,Wet,Daylight,Clear,Severe,Severe,0.0
March,Friday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,12.952255216115011
April,Friday,Unknown,Truck,Unidentified,2,Unknown,31-50,Dry,Daylight,Clear,Minor,Minor,3.827600497306258
July,Saturday,Chhattisgarh,Bus,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
March,Wednesday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Minor,Minor,7.785247520248148
March,Saturday,Sikkim,Truck,Unidentified,2,31-50,Unknown,Dry,Dark,Fog/Mist,Severe,Severe,67.0
April,Monday,Unknown,Truck,Unidentified,2,18-30,Over 51,Dry,Daylight,Clear,Minor,Minor,11.0
October,Friday,Unknown,Truck,Unidentified,2,Unknown,31-50,Dry,Daylight,Clear,Minor,Minor,1.0
July,Wednesday,Unknown,Truck,Unidentified,3,31-50,18-30,Wet,Daylight,Rainy,Minor,Minor,27.0
October,Tuesday,Unknown,Truck,Unidentified,2,18-30,Over 51,Dry,Dark,Clear,Minor,Minor,0.0
May,Thursday,Unknown,Truck,Unidentified,1,18-30,Unknown,Dry,Dark,Clear,Minor,Minor,28.827600497306253
October,Saturday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,1.0
March,Saturday,Unknown,Truck,Unidentified,1,Under 18,Unknown,Dry,Daylight,Clear,Severe,Severe,66.0
October,Wednesday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,5.7826257348138475
June,Wednesday,Odisha,Pedestrian,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
June,Monday,Unknown,Truck,Unidentified,2,18-30,Under 18,Wet,Daylight,Rainy,Minor,Minor,4.0
April,Saturday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Minor,35.82760049730626
May,Friday,Unknown,Truck,Unidentified,3,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,3.0
August,Monday,Kerala,Truck,Unidentified,3,Over 51,Unknown,Damaged/Construction,Twilight,Rainy,Severe,Minor,22.0
October,Thursday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Minor,Severe,69.56086992885287
May,Friday,Unknown,Truck,Unidentified,3,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,8.067007286588478
March,Thursday,Unknown,Truck,Unidentified,3,Under 18,Unknown,Dry,Daylight,Clear,Severe,Minor,28.77672554997217
March,Wednesday,Maharashtra,Auto Rickshaw,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
May,Sunday,Unknown,Truck,Unidentified,3,Over 51,Unknown,Dry,Dark,Clear,Minor,Minor,8.615408320493067
October,Saturday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Minor,Minor,1.0
May,Wednesday,Unknown,Truck,Unidentified,2,Over 51,Unknown,Dry,Daylight,Clear,Minor,Minor,27.437419500528275
May,Tuesday,Unknown,Truck,Unidentified,3,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,3.0
January,Sunday,Maharashtra,Pedestrian,Truck,2,Unknown,31-50,Wet,Daylight,Clear,Severe,Severe,1.0
May,Sunday,Unknown,Truck,Unidentified,2,31-50,31-50,Dry,Dark,Clear,Minor,Minor,3.0
March,Sunday,Unknown,Truck,Unidentified,3,18-30,18-30,Wet,Dark,Clear,Severe,Minor,7.000000000000001
May,Saturday,Gujarat,Truck,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
May,Sunday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Dark,Clear,Severe,Minor,0.0
October,Monday,Unknown,Truck,Unidentified,1,18-30,18-30,Dry,Daylight,Clear,Severe,Severe,47.90566893424036
April,Thursday,Unknown,Truck,Unidentified,2,Over 51,Over 51,Dry,Daylight,Clear,Minor,Minor,20.0
March,Thursday,Tamil Nadu,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
April,Thursday,Kerala,Car,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
April,Tuesday,Unknown,Truck,Unidentified,3,31-50,31-50,Dry,Daylight,Clear,Minor,Minor,11.600510929882716
February,Wednesday,Madhya Pradesh,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
August,Monday,Unknown,Truck,Unidentified,2,18-30,Unknown,Wet,Dark,Rainy,Severe,Minor,0.0
July,Monday,Unknown,Truck,Unidentified,2,31-50,Unknown,Wet,Daylight,Rainy,Minor,Minor,11.0
May,Monday,Unknown,Truck,Unidentified,2,31-50,31-50,Dry,Daylight,Clear,Minor,Minor,11.0
October,Tuesday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,35.762392479352634
April,Wednesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,0.0
September,Thursday,Chandigarh,Truck,Unidentified,3,Over 51,Unknown,Wet,Daylight,Clear,Minor,Severe,43.0
October,Monday,Unknown,Truck,Unidentified,3,Unknown,Unknown,Dry,Daylight,Clear,Minor,Minor,11.0
May,Friday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Dark,Clear,Minor,Minor,1.0
September,Sunday,Uttar Pradesh,Car,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,0.0
September,Tuesday,Unknown,Truck,Unidentified,1,Unknown,Unknown,Wet,Daylight,Rainy,Minor,Minor,13.0
May,Thursday,Unknown,Truck,Unidentified,2,Under 18,31-50,Dry,Daylight,Clear,Minor,Minor,5.173729222155284
February,Wednesday,Tamil Nadu,Truck,Unidentified,2,Over 51,Unknown,Damaged/Construction,Dark,Rainy,Severe,Severe,16.0
May,Tuesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,0.0
August,Friday,Haryana,Truck,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
April,Thursday,Unknown,Truck,Unidentified,2,31-50,31-50,Wet,Dark,Clear,Minor,Minor,2.0
November,Tuesday,Uttar Pradesh,Two Wheeler,Truck,2,Unknown,Unknown,Wet,Dark,Clear,Severe,Severe,0.0
May,Thursday,Unknown,Truck,Unidentified,1,Unknown,18-30,Dry,Daylight,Clear,Minor,Minor,17.0
October,Tuesday,Unknown,Truck,Unidentified,2,18-30,Under 18,Dry,Daylight,Clear,Minor,Minor,8.0
March,Monday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,1.0
