month,day_of_week,state,vehicle_1,vehicle_2,vehicles_involved,party_age_group,victim_age_group,road_condition,lighting_condition,weather_group,Actual_Severity,Predicted_Severity,Risk_Score
October,Tuesday,Unknown,Truck,Unidentified,1,Over 51,Under 18,Dry,Daylight,Clear,Minor,Minor,11.09090909090909
July,Monday,Unknown,Truck,Unidentified,2,31-50,Unknown,Wet,Daylight,Rainy,Minor,Minor,0.0
May,Monday,Unknown,Truck,Unidentified,1,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,34.0
May,Sunday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,1.0
June,Wednesday,Unknown,Truck,Unidentified,3,18-30,Unknown,Dry,Daylight,Rainy,Severe,Minor,7.000000000000001
April,Saturday,Uttar Pradesh,Car,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
February,Wednesday,Karnataka,Truck,Unidentified,3,31-50,Unknown,Damaged/Construction,Dark,Rainy,Minor,Severe,65.0
July,Tuesday,Unknown,Truck,Unidentified,3,31-50,Under 18,Wet,Dark,Rainy,Minor,Minor,28.000000000000004
May,Thursday,Unknown,Truck,Unidentified,2,31-50,31-50,Wet,Dark,Clear,Minor,Minor,1.0
March,Monday,Unknown,Truck,Unidentified,2,Unknown,18-30,Dry,Daylight,Clear,Severe,Minor,5.0
April,Monday,Unknown,Truck,Unidentified,2,Unknown,18-30,Dry,Daylight,Clear,Minor,Minor,22.0
May,Thursday,Unknown,Truck,Unidentified,1,31-50,18-30,Dry,Daylight,Clear,Severe,Minor,12.09090909090909
April,Friday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,5.032258064516129
June,Tuesday,Unknown,Truck,Unidentified,1,Unknown,Unknown,Wet,Daylight,Rainy,Severe,Minor,7.000000000000001
August,Monday,West Bengal,Pedestrian,Truck,2,Unknown,31-50,Dry,Daylight,Clear,Severe,Severe,100.0
April,Monday,Unknown,Truck,Unidentified,2,Under 18,18-30,Dry,Daylight,Clear,Minor,Minor,8.0
March,Saturday,Rajasthan,Car,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
August,Tuesday,Jharkhand,Pedestrian,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
September,Sunday,Tamil Nadu,Bus,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,99.0
April,Saturday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,5.0
October,Saturday,Rajasthan,Truck,Unidentified,4,31-50,Unknown,Dry,Daylight,Fog/Mist,Severe,Severe,76.0
August,Wednesday,Maharashtra,Bus,Truck,2,Unknown,Unknown,Wet,Dark,Clear,Severe,Severe,100.0
October,Friday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,23.387968973522966
January,Sunday,Karnataka,Two Wheeler,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,100.0
May,Friday,Unknown,Truck,Unidentified,2,Under 18,Under 18,Dry,Dark,Clear,Minor,Minor,3.0
October,Thursday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,2.214285714285714
May,Tuesday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,6.321678321678322
April,Wednesday,Unknown,Truck,Unidentified,2,18-30,31-50,Wet,Dark,Clear,Severe,Minor,2.12316715542522
April,Friday,Unknown,Truck,Unidentified,3,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,9.12316715542522
August,Thursday,Unknown,Bus,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,88.0
October,Friday,Madhya Pradesh,Truck,Unidentified,2,18-30,Unknown,Wet,Dark,Clear,Severe,Severe,69.0
June,Sunday,Arunachal Pradesh,Truck,Unidentified,5,31-50,Unknown,Dry,Dark,Fog/Mist,Severe,Severe,68.0
October,Tuesday,Unknown,Truck,Unidentified,1,Under 18,18-30,Dry,Dark,Clear,Minor,Severe,54.27838827838829
September,Friday,Kerala,Truck,Unidentified,5,Over 51,Unknown,Wet,Twilight,Fog/Mist,Severe,Severe,72.0
May,Wednesday,Unknown,Truck,Unidentified,3,31-50,Under 18,Dry,Daylight,Clear,Minor,Minor,23.0
July,Monday,Uttar Pradesh,Auto Rickshaw,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
March,Monday,Unknown,Truck,Unidentified,2,18-30,Under 18,Wet,Dark,Clear,Minor,Minor,19.221343873517785
May,Monday,Unknown,Truck,Unidentified,3,31-50,18-30,Dry,Dark,Clear,Minor,Minor,17.0
October,Friday,Unknown,Truck,Unidentified,3,18-30,Under 18,Dry,Daylight,Clear,Minor,Minor,18.0
June,Monday,Punjab,Truck,Unidentified,4,Over 51,Unknown,Dry,Twilight,Rainy,Severe,Severe,68.0
April,Thursday,Unknown,Truck,Unidentified,1,Over 51,18-30,Dry,Daylight,Clear,Severe,Minor,18.0
April,Thursday,Unknown,Truck,Unidentified,2,Under 18,18-30,Dry,Daylight,Clear,Minor,Minor,18.0
January,Thursday,Andhra Pradesh,Car,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,99.0
March,Friday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,2.4242424242424243
March,Monday,Unknown,Truck,Unidentified,2,31-50,Under 18,Dry,Daylight,Clear,Minor,Minor,6.0
May,Friday,Chhattisgarh,Truck,Unidentified,5,Over 51,Unknown,Damaged/Construction,Twilight,Rainy,Minor,Minor,46.0
October,Wednesday,Unknown,Truck,Unidentified,1,Over 51,Unknown,Dry,Daylight,Clear,Minor,Minor,0.0
March,Tuesday,Unknown,Truck,Unidentified,3,Over 51,Under 18,Dry,Daylight,Clear,Minor,Minor,17.0
October,Thursday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Minor,Minor,45.0
November,Wednesday,Goa,Two Wheeler,Truck,2,Unknown,18-30,Wet,Dark,Clear,Severe,Severe,100.0
October,Monday,Unknown,Truck,Unidentified,1,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,2.0
March,Saturday,Unknown,Truck,Unidentified,3,Over 51,18-30,Wet,Daylight,Clear,Minor,Minor,15.0
April,Thursday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,1.333479050169092
April,Tuesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Severe,Minor,7.000000000000001
March,Wednesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,10.0
December,Monday,Manipur,Truck,Unidentified,3,Over 51,Unknown,Damaged/Construction,Twilight,Fog/Mist,Severe,Severe,60.0
July,Saturday,Unknown,Truck,Unidentified,2,Under 18,Over 51,Wet,Dark,Rainy,Minor,Minor,24.0
June,Wednesday,Puducherry,Truck,Unidentified,1,Over 51,Unknown,Wet,Twilight,Rainy,Minor,Severe,59.0
May,Thursday,Unknown,Truck,Unidentified,2,Unknown,31-50,Wet,Dark,Clear,Minor,Minor,18.0
October,Monday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,25.0
August,Friday,Unknown,Truck,Unidentified,1,31-50,31-50,Wet,Daylight,Rainy,Minor,Minor,19.047619047619047
May,Tuesday,Unknown,Truck,Unidentified,1,18-30,18-30,Dry,Dark,Clear,Minor,Severe,52.65126337077557
April,Monday,Unknown,Truck,Unidentified,2,Under 18,Unknown,Dry,Daylight,Clear,Minor,Minor,12.12316715542522
October,Sunday,Unknown,Truck,Unidentified,2,31-50,Under 18,Dry,Dark,Clear,Minor,Minor,6.261904761904762
July,Monday,Unknown,Truck,Unidentified,2,18-30,18-30,Wet,Dark,Rainy,Minor,Minor,5.0
October,Thursday,Unknown,Truck,Unidentified,4,18-30,31-50,Wet,Daylight,Clear,Severe,Minor,35.230769230769226
February,Tuesday,Haryana,Truck,Unidentified,2,Over 51,Unknown,Damaged/Construction,Twilight,Clear,Severe,Severe,60.0
November,Tuesday,Uttar Pradesh,Truck,Car,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,74.0
October,Saturday,Delhi,Truck,Unidentified,3,Over 51,Unknown,Damaged/Construction,Dark,Clear,Minor,Severe,65.0
July,Wednesday,Unknown,Truck,Unidentified,2,31-50,Under 18,Wet,Daylight,Rainy,Minor,Minor,1.0
August,Wednesday,Punjab,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
April,Thursday,Unknown,Truck,Unidentified,2,Over 51,Unknown,Dry,Daylight,Clear,Minor,Minor,5.0
February,Tuesday,Nagaland,Truck,Unidentified,2,Over 51,Unknown,Dry,Twilight,Fog/Mist,Minor,Severe,85.0
March,Tuesday,Unknown,Truck,Unidentified,3,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,3.0952380952380953
August,Sunday,Karnataka,Bus,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,99.0
May,Tuesday,Assam,Truck,Unidentified,1,Over 51,Unknown,Damaged/Construction,Twilight,Rainy,Minor,Severe,80.0
February,Friday,Rajasthan,Truck,Unidentified,3,31-50,Unknown,Wet,Twilight,Fog/Mist,Severe,Severe,67.0
March,Tuesday,Unknown,Truck,Unidentified,3,Unknown,Unknown,Dry,Daylight,Clear,Minor,Minor,7.000000000000001
November,Friday,Tamil Nadu,Truck,Unidentified,5,18-30,Unknown,Damaged/Construction,Dark,Fog/Mist,Minor,Severe,68.0
November,Thursday,Maharashtra,Truck,Unidentified,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,64.0
May,Tuesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Dark,Clear,Minor,Minor,5.090909090909091
September,Saturday,Unknown,Truck,Unidentified,2,Over 51,Unknown,Wet,Daylight,Rainy,Minor,Minor,7.000000000000001
May,Saturday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,29.104564553093958
March,Tuesday,Unknown,Truck,Unidentified,1,Unknown,18-30,Dry,Daylight,Clear,Minor,Minor,14.000000000000002
May,Wednesday,Unknown,Truck,Unidentified,6,18-30,Unknown,Dry,Dark,Clear,Minor,Severe,56.99999999999999
August,Sunday,Manipur,Truck,Unidentified,4,18-30,Unknown,Damaged/Construction,Dark,Rainy,Severe,Severe,56.00000000000001
March,Monday,Unknown,Truck,Unidentified,2,Under 18,Unknown,Dry,Daylight,Clear,Minor,Minor,13.09090909090909
October,Wednesday,Goa,Two Wheeler,Truck,2,Unknown,18-30,Dry,Dark,Clear,Severe,Severe,100.0
March,Sunday,Telangana,Two Wheeler,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,100.0
October,Friday,Unknown,Truck,Unidentified,2,Under 18,31-50,Dry,Daylight,Clear,Minor,Minor,10.090909090909092
March,Monday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Dark,Clear,Minor,Minor,2.0
September,Tuesday,Rajasthan,Suv,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
March,Sunday,Unknown,Truck,Unidentified,1,31-50,31-50,Dry,Daylight,Clear,Minor,Minor,38.04761904761905
May,Saturday,Unknown,Truck,Unidentified,2,Unknown,18-30,Dry,Daylight,Clear,Minor,Minor,15.0
March,Saturday,Unknown,Truck,Unidentified,2,18-30,Unknown,Wet,Dark,Clear,Minor,Minor,6.230769230769231
April,Tuesday,Uttar Pradesh,Car,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
May,Saturday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,23.0
March,Thursday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Dark,Clear,Minor,Minor,3.0
May,Wednesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,4.0
November,Thursday,Uttar Pradesh,Bus,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
January,Sunday,Karnataka,Two Wheeler,Truck,2,Unknown,Over 51,Wet,Daylight,Clear,Severe,Severe,100.0
August,Friday,Unknown,Truck,Unidentified,1,18-30,31-50,Wet,Dark,Rainy,Severe,Minor,30.0
May,Wednesday,Maharashtra,Truck,Truck,2,Unknown,Over 51,Wet,Dark,Clear,Severe,Severe,100.0
May,Thursday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Minor,Minor,1.0
October,Saturday,Himachal Pradesh,Truck,Unidentified,4,31-50,Unknown,Damaged/Construction,Daylight,Fog/Mist,Severe,Severe,67.0
May,Sunday,Maharashtra,Van,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
May,Friday,Punjab,Two Wheeler,Truck,2,Unknown,Under 18,Dry,Daylight,Clear,Severe,Severe,100.0
July,Monday,Arunachal Pradesh,Truck,Unidentified,3,31-50,Unknown,Damaged/Construction,Dark,Fog/Mist,Minor,Severe,74.0
July,Tuesday,Unknown,Truck,Unidentified,1,Unknown,31-50,Wet,Dark,Rainy,Severe,Minor,14.166666666666666
October,Thursday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Severe,Minor,21.736511456023653
May,Thursday,Unknown,Truck,Unidentified,3,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,3.0
October,Sunday,Unknown,Truck,Unidentified,4,31-50,Over 51,Dry,Daylight,Clear,Severe,Minor,9.0
June,Sunday,Goa,Truck,Unidentified,1,31-50,Unknown,Damaged/Construction,Twilight,Rainy,Severe,Severe,63.0
June,Monday,Unknown,Truck,Unidentified,2,18-30,Over 51,Wet,Daylight,Rainy,Minor,Minor,15.0
March,Saturday,Unknown,Truck,Unidentified,1,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,6.0
April,Monday,Maharashtra,Two Wheeler,Truck,2,Unknown,18-30,Dry,Daylight,Clear,Severe,Severe,100.0
May,Sunday,Unknown,Truck,Unidentified,1,18-30,Under 18,Dry,Daylight,Clear,Minor,Minor,27.0
August,Saturday,Andhra Pradesh,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
April,Saturday,Maharashtra,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
April,Saturday,Unknown,Truck,Unidentified,2,31-50,31-50,Dry,Daylight,Clear,Minor,Minor,2.230769230769231
April,Thursday,Bihar,Two Wheeler,Truck,2,Unknown,31-50,Dry,Daylight,Clear,Severe,Severe,100.0
March,Saturday,Unknown,Truck,Unidentified,2,Unknown,31-50,Dry,Daylight,Clear,Severe,Minor,3.81397228525474
May,Tuesday,Odisha,Two Wheeler,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,100.0
April,Wednesday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,5.396103896103896
April,Friday,Unknown,Truck,Unidentified,4,18-30,Unknown,Dry,Dark,Clear,Minor,Severe,53.0
March,Wednesday,Unknown,Truck,Unidentified,1,18-30,18-30,Wet,Dark,Clear,Severe,Minor,31.634199134199132
April,Wednesday,Gujarat,Two Wheeler,Truck,2,Unknown,31-50,Dry,Daylight,Clear,Severe,Severe,100.0
January,Sunday,Maharashtra,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,99.0
May,Tuesday,Unknown,Truck,Unidentified,2,18-30,Over 51,Dry,Daylight,Clear,Minor,Minor,6.0476190476190474
May,Thursday,Unknown,Truck,Unidentified,2,Over 51,31-50,Dry,Daylight,Clear,Minor,Minor,6.0
February,Wednesday,Gujarat,Car,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
August,Wednesday,Unknown,Truck,Unidentified,1,Over 51,18-30,Wet,Daylight,Rainy,Minor,Minor,36.0
September,Sunday,Assam,Car,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,100.0
May,Friday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,0.21428571428571425
March,Friday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Dark,Clear,Minor,Minor,35.63907740809914
June,Tuesday,Uttar Pradesh,Pedestrian,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
March,Wednesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Severe,64.0909090909091
March,Friday,Unknown,Truck,Unidentified,2,Over 51,Over 51,Wet,Dark,Clear,Minor,Minor,14.268962921136835
June,Wednesday,Chandigarh,Truck,Unidentified,4,Over 51,Unknown,Damaged/Construction,Dark,Rainy,Minor,Severe,75.0
March,Friday,Unknown,Truck,Unidentified,1,Over 51,Under 18,Dry,Daylight,Clear,Minor,Minor,10.424242424242426
October,Thursday,Unknown,Truck,Unidentified,1,31-50,18-30,Wet,Daylight,Clear,Minor,Minor,15.0
March,Friday,Unknown,Truck,Unidentified,3,18-30,Under 18,Dry,Daylight,Clear,Minor,Minor,4.261695293953358
April,Wednesday,Uttar Pradesh,Bus,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Minor,Severe,92.0
March,Thursday,Unknown,Truck,Unidentified,1,31-50,Over 51,Dry,Daylight,Clear,Severe,Minor,34.0
May,Thursday,Unknown,Truck,Unidentified,2,18-30,Unknown,Wet,Daylight,Clear,Minor,Minor,23.0
April,Tuesday,Gujarat,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
April,Sunday,Unknown,Truck,Unidentified,2,Over 51,31-50,Dry,Daylight,Clear,Minor,Minor,11.166666666666668
June,Tuesday,Tamil Nadu,Truck,Bus,2,Unknown,18-30,Wet,Dark,Clear,Severe,Severe,99.0
March,Friday,Unknown,Truck,Unidentified,3,Over 51,18-30,Dry,Daylight,Clear,Minor,Minor,13.0
June,Saturday,Delhi,Bus,Unidentified,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,89.0
May,Saturday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Severe,68.09948495527243
May,Tuesday,Unknown,Truck,Unidentified,2,31-50,Under 18,Dry,Daylight,Clear,Minor,Minor,28.52137445887446
May,Saturday,Unknown,Truck,Unidentified,2,Over 51,Unknown,Dry,Daylight,Clear,Minor,Minor,6.0
July,Monday,Tripura,Truck,Unidentified,3,Over 51,Unknown,Wet,Twilight,Fog/Mist,Severe,Severe,69.0
December,Wednesday,Unknown,Bus,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Minor,Severe,91.0
March,Friday,Unknown,Truck,Unidentified,2,31-50,Unknown,Wet,Daylight,Clear,Severe,Minor,11.253601938033915
September,Saturday,Punjab,Truck,Unidentified,1,Over 51,Unknown,Damaged/Construction,Dark,Fog/Mist,Severe,Severe,80.0
May,Saturday,Unknown,Truck,Unidentified,2,18-30,Under 18,Dry,Daylight,Clear,Minor,Minor,7.061126166817224
October,Sunday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Dark,Clear,Minor,Minor,4.5524475524475525
April,Wednesday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,2.0
August,Thursday,Unknown,Truck,Unidentified,2,18-30,18-30,Wet,Daylight,Rainy,Minor,Minor,8.0
March,Monday,Unknown,Truck,Unidentified,2,18-30,Over 51,Dry,Daylight,Clear,Minor,Minor,10.285714285714285
March,Monday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Severe,Minor,6.9715936237675376
October,Sunday,Karnataka,Bus,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,89.0
April,Thursday,Unknown,Truck,Unidentified,1,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,16.801635627181174
October,Tuesday,Unknown,Truck,Unidentified,2,Unknown,31-50,Dry,Dark,Clear,Minor,Minor,4.0
June,Tuesday,Uttar Pradesh,Truck,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,98.0
March,Wednesday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Minor,Minor,2.0
June,Thursday,Madhya Pradesh,Two Wheeler,Truck,2,Unknown,31-50,Dry,Daylight,Clear,Severe,Severe,100.0
May,Tuesday,Unknown,Truck,Unidentified,2,Over 51,Unknown,Dry,Daylight,Clear,Severe,Minor,3.277056277056277
July,Thursday,Uttar Pradesh,Truck,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,99.0
June,Saturday,Unknown,Truck,Unidentified,1,Over 51,31-50,Wet,Dark,Rainy,Severe,Minor,38.230769230769226
May,Sunday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,29.937728937728934
January,Thursday,Kerala,Two Wheeler,Truck,2,Unknown,31-50,Wet,Daylight,Clear,Severe,Severe,100.0
March,Friday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,6.851981351981353
April,Friday,Unknown,Truck,Unidentified,2,Unknown,31-50,Dry,Daylight,Clear,Minor,Minor,2.024390243902439
July,Saturday,Chhattisgarh,Bus,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,99.0
March,Wednesday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Minor,Minor,3.6078832536249563
March,Saturday,Sikkim,Truck,Unidentified,2,31-50,Unknown,Dry,Dark,Fog/Mist,Severe,Severe,80.0
April,Monday,Unknown,Truck,Unidentified,2,18-30,Over 51,Dry,Daylight,Clear,Minor,Minor,9.181818181818182
October,Friday,Unknown,Truck,Unidentified,2,Unknown,31-50,Dry,Daylight,Clear,Minor,Minor,3.191056910569105
July,Wednesday,Unknown,Truck,Unidentified,3,31-50,18-30,Wet,Daylight,Rainy,Minor,Minor,15.0
October,Tuesday,Unknown,Truck,Unidentified,2,18-30,Over 51,Dry,Dark,Clear,Minor,Minor,2.0
May,Thursday,Unknown,Truck,Unidentified,1,18-30,Unknown,Dry,Dark,Clear,Minor,Minor,20.0625
October,Saturday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,3.0625
March,Saturday,Unknown,Truck,Unidentified,1,Under 18,Unknown,Dry,Daylight,Clear,Severe,Severe,67.23076923076923
October,Wednesday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,12.0
June,Wednesday,Odisha,Pedestrian,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
June,Monday,Unknown,Truck,Unidentified,2,18-30,Under 18,Wet,Daylight,Rainy,Minor,Minor,4.0476190476190474
April,Saturday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Minor,25.376623376623375
May,Friday,Unknown,Truck,Unidentified,3,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,3.0
August,Monday,Kerala,Truck,Unidentified,3,Over 51,Unknown,Damaged/Construction,Twilight,Rainy,Severe,Minor,42.0
October,Thursday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Minor,Severe,67.6569055944056
May,Friday,Unknown,Truck,Unidentified,3,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,8.201028138528137
March,Thursday,Unknown,Truck,Unidentified,3,Under 18,Unknown,Dry,Daylight,Clear,Severe,Minor,33.594405594405586
March,Wednesday,Maharashtra,Auto Rickshaw,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
May,Sunday,Unknown,Truck,Unidentified,3,Over 51,Unknown,Dry,Dark,Clear,Minor,Minor,6.090909090909091
October,Saturday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Minor,Minor,3.032258064516129
May,Wednesday,Unknown,Truck,Unidentified,2,Over 51,Unknown,Dry,Daylight,Clear,Minor,Minor,14.43883582179721
May,Tuesday,Unknown,Truck,Unidentified,3,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,2.090909090909091
January,Sunday,Maharashtra,Pedestrian,Truck,2,Unknown,31-50,Wet,Daylight,Clear,Severe,Severe,100.0
May,Sunday,Unknown,Truck,Unidentified,2,31-50,31-50,Dry,Dark,Clear,Minor,Minor,8.09090909090909
March,Sunday,Unknown,Truck,Unidentified,3,18-30,18-30,Wet,Dark,Clear,Severe,Minor,25.0
May,Saturday,Gujarat,Truck,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,94.0
May,Sunday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Dark,Clear,Severe,Minor,0.0
October,Monday,Unknown,Truck,Unidentified,1,18-30,18-30,Dry,Daylight,Clear,Severe,Severe,63.0909090909091
April,Thursday,Unknown,Truck,Unidentified,2,Over 51,Over 51,Dry,Daylight,Clear,Minor,Minor,22.110119047619047
March,Thursday,Tamil Nadu,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
April,Thursday,Kerala,Car,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,96.0
April,Tuesday,Unknown,Truck,Unidentified,3,31-50,31-50,Dry,Daylight,Clear,Minor,Minor,11.582251082251082
February,Wednesday,Madhya Pradesh,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
August,Monday,Unknown,Truck,Unidentified,2,18-30,Unknown,Wet,Dark,Rainy,Severe,Minor,0.0
July,Monday,Unknown,Truck,Unidentified,2,31-50,Unknown,Wet,Daylight,Rainy,Minor,Minor,12.09090909090909
May,Monday,Unknown,Truck,Unidentified,2,31-50,31-50,Dry,Daylight,Clear,Minor,Minor,8.0
October,Tuesday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,22.620147186192497
April,Wednesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,0.0
September,Thursday,Chandigarh,Truck,Unidentified,3,Over 51,Unknown,Wet,Daylight,Clear,Minor,Severe,71.0
October,Monday,Unknown,Truck,Unidentified,3,Unknown,Unknown,Dry,Daylight,Clear,Minor,Minor,16.0
May,Friday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Dark,Clear,Minor,Minor,5.0
September,Sunday,Uttar Pradesh,Car,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,100.0
September,Tuesday,Unknown,Truck,Unidentified,1,Unknown,Unknown,Wet,Daylight,Rainy,Minor,Minor,5.0
May,Thursday,Unknown,Truck,Unidentified,2,Under 18,31-50,Dry,Daylight,Clear,Minor,Minor,3.562770562770562
February,Wednesday,Tamil Nadu,Truck,Unidentified,2,Over 51,Unknown,Damaged/Construction,Dark,Rainy,Severe,Severe,79.0
May,Tuesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,0.0
August,Friday,Haryana,Truck,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
April,Thursday,Unknown,Truck,Unidentified,2,31-50,31-50,Wet,Dark,Clear,Minor,Minor,1.0
November,Tuesday,Uttar Pradesh,Two Wheeler,Truck,2,Unknown,Unknown,Wet,Dark,Clear,Severe,Severe,100.0
May,Thursday,Unknown,Truck,Unidentified,1,Unknown,18-30,Dry,Daylight,Clear,Minor,Minor,18.0
October,Tuesday,Unknown,Truck,Unidentified,2,18-30,Under 18,Dry,Daylight,Clear,Minor,Minor,6.0
